NAME,A,Period,Eccentricity,OM,PLANETDISCMETH,Mass,Gravity,R,Rstar
Kepler-310 d,0.401368,92.876125,,90,Transit,0.019315,,0.220359,0.876
Kepler-204 c,0.170262,25.660593,,90,Transit,0.0131908,,0.159693,1.238
Kepler-26 b,0.0902469,12.282356,0,90,Transit,0.0397121,,0.320884,0.59
Kepler-374 c,0.0432285,3.282807,,90,Transit,0.00409374,,0.0981354,0.911
Kepler-395 b,0.0719854,7.054346,,90,Transit,0.00324127,,0.0918904,0.556
HD 126614 A b,2.36847,1244,0.41,243,RV,0.385706,0,,1.10978
Kepler-80 e,0.0544864,4.645387,,90,Transit,0.0121773,,0.146311,0.637
Kepler-83 d,0.0585134,5.169796,,90,Transit,0.014298,,0.173075,0.594
Kepler-167 b,0.0524957,4.393147,,90,Transit,0.010538,,0.12936,0.696
Kepler-295 d,0.204929,33.884054,,90,Transit,0.00850717,,0.121331,0.898
Kepler-337 b,0.043316,3.292781,,90,Transit,0.0115417,,0.13739,1.761
HD 177830 b,1.13872,410.1,0.096,189,RV,1.31967,0,,3.99397
Kepler-226 d,0.0789926,8.109044,,90,Transit,0.00587447,,0.108841,0.802
HD 38283 b,1.02382,363.2,0.41,219,RV,0.338157,,,1.50465
Kepler-386 b,0.104341,12.31043,,90,Transit,0.00915403,,0.124008,0.767
HD 217786 b,2.3791,1319,0.4,100,RV,13.1868,,,1.15058
Kepler-363 c,0.0752686,7.542427,,90,Transit,0.0125062,,0.150772,1.485
Kepler-24 d,0.0513038,4.244384,,90,Transit,0.0123736,,0.148987,1.289
HD 32518 b,0.595162,157.54,0.01,306.11,RV,3.34549,0,,24.3641
Kepler-402 c,0.0655142,6.124821,,90,Transit,0.0116666,,0.139174,1.264
Kepler-435 b,0.0948432,8.6001536,0.114,104,Transit,0.84,2.72914,1.99,3.21
WASP-18 b,0.0201401,0.9414529,0.00848,267.9,Transit,10.2006,4.29671,1.267,1.216
CoRoT-6 b,0.0854177,8.886593,0,90,Transit,2.95364,3.73313,1.166,1.025
Kepler-127 c,0.186396,29.393195,,90,Transit,0.0216742,,0.237309,1.359
Kepler-203 c,0.0600193,5.370647,,90,Transit,0.019315,,0.220359,1.114
HD 73267 b,2.19849,1260,0.256,229.1,RV,3.06257,0,,1.16642
HD 147513 b,1.30958,528.40002,0.26,282,RV,1.17965,0,,0.850084
HD 72659 b,4.75375,3658,0.22,260.7,RV,3.1741,0,,1.34287
BD +14 4559 b,0.775866,268.94,0.29,87.64,RV,1.51929,0,,0.725686
HD 1605 b,1.48605,577.9,0.078,26,RV,0.96903,,,3.8
Kepler-79 b,0.114456,13.485,0.015,191.31,Timing,0.0343,,0.316,1.1
Kepler-202 b,0.0498841,4.069427,,90,Transit,0.0121124,,0.145419,0.667
HD 197037 b,2.07477,1035.7,0.22,298,RV,0.807324,,,1.09866
HD 70642 b,3.18072,2068,0.034,205,RV,1.90944,0,,1.03139
KELT-2 A b,0.0549707,4.1137912,0,90,Transit,1.52064,3.36108,1.286,1.828
Kepler-10 b,0.0167573,0.837495,0,90,Transit,0.0142824,3.3461,0.126327,1.056
Kepler-208 e,0.125606,16.259458,,90,Transit,0.0112762,,0.132037,1.314
Kepler-270 c,0.168498,25.262887,,90,Transit,0.0130508,,0.157909,1.461
Kepler-225 c,0.138343,18.794234,,90,Transit,0.0135483,,0.164154,0.48
Kepler-150 d,0.105752,12.56093,,90,Transit,0.0235009,,0.248907,0.939
Kepler-405 b,0.0945195,10.613839,,90,Transit,0.015437,,0.185565,0.893
Kepler-208 b,0.0511769,4.22864,,90,Transit,0.0121124,,0.145419,1.314
M 67 YBP 1194 b,0.0715732,6.958,0.24,98.62,RV,0.346328,,,1.01765
Kepler-325 d,0.223972,38.715185,,90,Transit,0.0235009,,0.248907,1.003
Kepler-340 c,0.157474,22.824669,,90,Transit,0.0341953,,0.300651,1.85
HD 40307 c,0.0800702,9.62,0,0,RV,0.0211468,0,,0.839223
HD 142 b,1.04292,350.3,0.26,303,RV,1.3057,0,,1.5121
Kepler-257 b,0.0349126,2.382667,,90,Transit,0.0210192,,0.232849,1.037
WASP-10 b,0.0384536,3.0927616,0.0507142,153.283,Transit,3.19144,3.83386,1.08,0.698
GJ 328 b,4.43476,4100,0.37,290,RV,2.3,,,
WASP-17 b,0.0499354,3.735433,0,90,Transit,0.508547,2.74458,1.932,1.2
HAT-P-17 b,0.0882385,10.338523,0.346,201,Transit,0.530158,3.11513,1.01,0.837
Kepler-162 b,0.0710671,6.919798,,90,Transit,0.00656354,,0.11241,0.958
HD 67087 b,1.08217,352.2,0.17,284.8,RV,3.09805,,,1.55
Kepler-293 c,0.280136,54.155743,,90,Transit,0.0463015,,0.34169,0.957
HD 102329 b,1.80892,778.1,0.211,178,RV,4.47808,,,7.27206
HD 159868 b,2.29553,1178.4,0.01,350,RV,2.20004,0,,1.84825
Kepler-424 b,0.0436419,3.3118644,0.002,,Transit,0.770225,,0.89,0.94
Kepler-262 c,0.152976,21.853722,,90,Transit,0.0121773,,0.146311,0.881
WASP-117 b,0.0946483,10.02165,0.302,242,Transit,0.2755,2.81882,1.021,1.17
WASP-75 b,0.0375112,2.484193,0,90,Transit,1.07,3.22024,1.27,1.26
Kepler-222 b,0.0487958,3.936981,,90,Transit,0.0297967,,0.281916,0.869
Kepler-334 b,0.0607596,5.470319,,90,Transit,0.00436179,,0.0999197,1.068
HD 114783 b,1.15987,493.7,0.144,86,RV,1.10505,0,,0.837785
GJ 581 e,0.028459,3.14945,0.32,236,RV,0.00613456,0,,0.299
Kepler-327 c,0.0588339,5.212333,,90,Transit,0.00324127,,0.0918904,0.492
Kepler-419 b,0.370106,69.7546,0.833,95.2,Transit,2.5,,,1.75
epsilon Ret b,1.19471,428.1,0.06,216,RV,1.37669,0,,3.51559
GJ 674 b,0.0386657,4.6938,0.2,143,RV,0.034879,0,,
HD 7924 c,0.113438,15.299,0.098,27,RV,0.0248402,,,0.7821
Kepler-57 c,0.0942979,11.6092567,,,Transit,0.0115953,,0.138158,0.73
HD 168443 c,2.85281,1749.83,0.2113,64.87,RV,17.3857,0,,1.58859
Kepler-172 c,0.0673847,6.388996,,90,Transit,0.0245625,,0.255152,1.085
WASP-70 A b,0.0485382,3.7130203,0,90,Transit,0.590076,3.03483,1.164,1.215
Kepler-400 c,0.131115,17.340824,,90,Transit,0.0115291,,0.132929,1.145
Kepler-220 e,0.250899,45.902733,,90,Transit,0.00789025,,0.118655,0.666
WASP-57 b,0.0386362,2.838971,0,90,Transit,0.675887,3.30185,0.916,0.836
HAT-P-37 b,0.0379273,2.79736,0.058,164,Transit,1.17362,3.32488,1.178,0.877
Kepler-198 c,0.264081,49.567416,,90,Transit,0.019315,,0.220359,0.94
Kepler-249 b,0.0434366,3.306539,,90,Transit,0.00396389,,0.0972433,0.482
WASP-106 b,0.089107,9.289715,0,,Transit,1.925,3.5833,1.085,1.393
HD 81040 b,1.9372,1001.7,0.526,81.3,RV,6.87654,0,,0.918818
HD 208527 b,2.099,875.5,0.08,278,RV,10.014,,,41.0489
Kepler-165 b,0.0794582,8.180848,,90,Transit,0.0176845,,0.206977,0.77
Kepler-28 b,0.0581375,5.91213,0,90,Transit,0.0397121,,0.320884,0.7
Kepler-118 c,0.145024,20.17202,,90,Transit,0.184717,,0.685164,1.094
HAT-P-32 b,0.0342627,2.150008,0,0,Transit,0.861516,2.8263,1.789,1.219
GJ 163 c,0.125354,25.63058,0.099,3.962,RV,0.0215524,,,
HD 95089 b,1.38575,507,0.157,317,RV,1.12925,,,4.34001
XO-3 b,0.0477112,3.1915426,0.2884,346.3,Transit,13.2849,3.95601,1.217,2.07898
HD 114729 b,2.10235,1114,0.167,93,RV,0.944758,0,,1.46377
Kepler-122 e,0.221179,37.993273,,90,Transit,0.0208911,,0.231956,1.216
Kepler-103 c,0.64119,179.612,0,,Transit,0.0877632,,0.458519,1.44
HD 100655 b,0.682908,157.57,0.085,132,RV,1.33352,,,9.3
Kepler-400 b,0.0848304,9.024389,,90,Transit,0.0122424,,0.147203,1.145
Kepler-106 c,0.111348,13.5708,0,,,0.0328478,,0.223015,1.04
Kepler-113 b,0.0502736,4.754,0,,Transit,0.013404,,0.16237,0.69
HD 142415 b,1.06061,386.29999,0.5,255,RV,1.66194,0,,1.11902
CoRoT-9 b,0.406991,95.2738,0.11,37,Transit,0.843564,3.27831,1.05,0.94
HD 114386 b,1.72685,937.70001,0.23,273,RV,1.3637,0,,0.637212
HD 103197 b,0.249018,47.84,0,0,RV,0.0982431,,,1.01561
7 CMa b,1.80264,763,0.14,12,RV,2.43233,,,2.3
K2-3 b,0.0769351,10.05403,,,Transit,0.0163773,,0.195,0.561
Kepler-368 b,0.175473,26.84768,,90,Transit,0.0318107,,0.290838,2.019
Kepler-335 b,0.0685981,6.562331,,90,Transit,0.0346488,,0.302436,1.854
WASP-16 b,0.0417858,3.1186009,0,90,Transit,0.842294,3.31471,1.008,0.946
Kepler-316 b,0.0335097,2.240508,,90,Transit,0.00359062,,0.0945669,0.52
HD 152581 b,1.48938,689,0,321,RV,1.51375,,,3.809
KIC 11442793 h,0.996347,331.60059,,,Transit,0.937417,,1.01,1.2
Kepler-103 b,0.127704,15.9654,0,,Transit,0.0305195,,0.300624,1.44
Kepler-338 b,0.112199,13.726976,,90,Transit,0.0189734,,0.217682,1.735
Kepler-129 b,0.123186,15.79186,,90,Transit,0.0182069,,0.211437,1.641
PH-1 b,0.629412,138.506,0.0539,348,Transit,0.100437,,0.550851,1.759
Kepler-306 d,0.131044,17.326644,,90,Transit,0.019315,,0.220359,0.719
Kepler-37 d,0.212021,39.792187,0.102489,107.021,Transit,0.00577478,2.64881,0.178,0.77
HD 13908 c,2.03386,931,0.12,185,RV,5.13,,,1.67
HD 125595 b,0.0809437,9.6737,0,90,RV,0.0416764,,,1.03336
